## MONTHS 1–3: ZERO-ALLOCATION C#, PYTHON INJECTION & INTEROP
### Week 1 — C# Fundamentals & Memory Stack
| Day | Study | Practice | Build & Push | Output | Self-Check |
| **3** | ADR 1: K3s over Docker. | Write Architecture Decision Record justifying Kubernetes. | Markdown ADR document. | ADR 1 file. | Did I explain the trade-offs? |
| **4** | ADR 2 & 3: CQRS & Cloud. | Write ADRs for EF Core + Dapper and Dual-Cloud routing. | Database & Cloud ADR documents. | ADR 2 & 3 files. | Are decisions grounded in performance metrics? |
| **5** | Presentation Readiness. | Review all visual documentation for the portfolio. | Finalized documentation. | Polished diagrams. | Prove your reasoning reflects Senior Architect seniority. |
### Week 35 — Capstone Wiring & End-to-End System Polish
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | V2 System Wiring. | Wire Simulator -> C# Gateway -> Kafka -> Postgres/Cloud. | Unified system boot script. | System orchestrator. | Does it boot with one command? |
| **2** | Repository Structure. | Clean the repo (src, docs, infra, edge). | Professional GitHub repository structure. | Cleaned codebase. | Would a German hiring manager respect this repo? |
| **3** | Full Integration Test. | Ensure queue, storage, status, metrics, auth connect perfectly. | Complete integration test. | Test suite passed. | Are there any dead ends? |
| **4** | Log Retention Policies. | Run a final pass to prevent disk-full errors. | Finalized Serilog configurations. | Logging setup. | Are logs rotating safely? |
| **5** | SOLID Refactoring. | Refactor any messy "hacky" code from earlier months. | Clean, decoupled code. | Finalized core logic. | Ensure the codebase follows SOLID principles. |
### Week 36 — Performance Load Testing & Profiling
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Load Test Planning. | Design scenarios: Broker down, DB slow, high volume. | Load test plan. | Test documentation. | Are the scenarios realistic? |
| **2** | Stress Testing. | Hit the C# gateway with 10,000 requests/sec. | Load test execution. | Stress testing scripts. | Did the system crash? |
| **3** | Resource Profiling. | Measure GC pauses, CPU usage, and memory leaks. | Performance profile report. | Profiling metrics. | Is memory stable under load? |
| **4** | System Tuning. | Tune weak points (e.g., Kafka batching or Dapper inserts). | Tuned codebase. | Performance patches. | Did the bottleneck move? |
| **5** | Performance Gains. | Re-run tests and document the optimizations. | Final benchmark report. | Optimization documentation. | Prove the system handles enterprise industrial loads. |
### Week 37 — DACH Vocabulary & Pitch Translation
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Technical German. | Map software/hardware terms to German (B2 level). | B2 German technical vocabulary list. | Study sheet. | Do I know the German word for Edge Computing? |
| **2** | Bilingual Documentation. | Translate C4 diagrams and ADR summaries into German. | Bilingual portfolio documentation. | Translated diagrams. | Are technical terms accurate? |
| **3** | Oral Practice (SQLite). | Practice explaining SQLite offline buffering in German. | Recorded oral practice. | Audio recording. | Is my pronunciation clear? |
| **4** | Professional Intro. | Practice "Werdegang" (Tell me about yourself) in German. | Polished professional introduction. | Pitch script. | Does it sound confident? |
| **5** | Language Maintenance. | Setup a 30-minute daily language maintenance routine. | Routine schedule. | Study plan. | Prove you can discuss OT/IT integration in German. |
### Week 38 — DACH Target Mapping & CV Formatting
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | DACH Sector Targeting. | List target sectors: Automation, IIoT, MedTech. | Targeted sector list. | Sector map. | Which sector fits my skills best? |
| **2** | Company Shortlist. | Target Siemens, Bosch, Beckhoff, KUKA, Integrators. | Top 30 DACH company targets. | Lead list. | Do these companies use C#/.NET? |
| **3** | *Lebenslauf* Formatting. | Format CV to German standards. | German CV PDF. | Final CV document. | Is it structured correctly? |
| **4** | *Anschreiben* Formatting. | Prepare German Cover Letter highlighting TwinCAT/C#. | Tailored German cover letter. | Final Cover Letter. | Does it address integration specifically? |
| **5** | Job Title Extraction. | Extract exact titles (Systemintegrator, Edge Developer). | Filtered job search queries. | Query list. | Verify profile bypasses generic "Fullstack" filters. |
### Week 39 — KSA Target Mapping & Gigaproject Positioning
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Gigaproject Targeting. | List NEOM, STC, IOT Squared, Aramco digital initiatives. | KSA Target List. | Lead list. | Who holds the IoT budgets in KSA? |
| **2** | Portfolio Repackaging. | Emphasize AWS, BACnet, and NCA OTCC compliance. | KSA-focused portfolio presentation. | Updated presentation. | Is it tailored to smart cities? |
| **3** | GCC CV Formatting. | Format an English CV for corporate/consultancy roles. | KSA CV PDF. | Final CV document. | Does it highlight massive scale? |
| **4** | Data Residency Answers. | Write answer for "How do you handle Saudi data residency?" | Sovereign cloud interview script. | Scripted answer. | Do I mention AWS Bahrain explicitly? |
| **5** | Compensation Math. | Compare Iqama/Tax-free structures vs EU Blue Card. | Compensation breakdown. | Strategy note. | Ensure you understand the KSA total-package model. |
### Week 40 — Execution: DACH Outreach Sprint
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Initial Applications. | Apply to the first batch of 10 targeted DACH roles. | Application tracker updated. | Submitted applications. | Did I use the correct keywords? |
| **2** | Portfolio Customization. | Customize portfolio links and summaries per role type. | Tailored submissions. | Customized emails. | Is the context relevant to the job? |
| **3** | Bypassing HR. | Send LinkedIn outreach to DACH Engineering Managers. | Direct outreach messages. | Sent messages. | Is the message short and technical? |
| **4** | Scaling Applications. | Apply to 10 additional roles. | Application tracker updated. | Submitted applications. | Am I maintaining quality? |
| **5** | Metrics Analysis. | Document which outreach messages get views/replies. | Conversion rate report. | Strategy adjustment plan. | Are they opening my GitHub? |
### Week 41 — Execution: KSA Outreach Sprint
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Initial Applications. | Apply to 10 targeted KSA/GCC roles. | Application tracker updated. | Submitted applications. | Did I mention Vision 2030 relevance? |
| **2** | Riyadh Networking. | Send LinkedIn outreach to technical leads in Riyadh. | Direct outreach messages. | Sent messages. | Am I targeting consultancies as well? |
| **3** | Scaling Applications. | Apply to 10 additional KSA roles. | Application tracker updated. | Submitted applications. | Am I hitting the top gigaprojects? |
| **4** | DACH Follow-ups. | Prepare follow-up messages for DACH connections. | Follow-up sequence. | Sent follow-ups. | Am I being persistent but polite? |
| **5** | Cross-Track Analysis. | Analyze application conversion rates for both tracks. | Conversion rate report. | Strategy adjustment plan. | Which market is responding faster? |
### Week 42 — Mock Technical Interview: Architecture Defense
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Architecture Defense. | Run a mock interview defending the Capstone (English/German). | Mock interview recording. | Performance notes. | Was I defensive or logical? |
| **2** | Database & Orchestration. | Address weak answers regarding CQRS and Edge Kubernetes. | Refined answers. | Script updates. | Can I explain K3s smoothly? |
| **3** | CI/CD & Deployment. | Run a mock interview on pipelines and Docker. | Mock interview recording. | Performance notes. | Did I stumble on volume mapping? |
| **4** | Hardware Protocols. | Explain hardware protocols (Beckhoff ADS vs BACnet). | Protocol explanations. | Script updates. | Is the distinction clear? |
| **5** | Weak Point Review. | Review top 5 architectural weak points and polish them. | Weak point mitigation plan. | Finalized answers. | Am I bulletproof on my own architecture? |
### Week 43 — Mock Technical Interview: Resilience & Failures
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Data Loss Investigation. | Explain how you would investigate data loss from a factory. | Incident response mock. | Performance notes. | Did I trace from edge to cloud? |
| **2** | Poison Messages. | Explain handling Azure DLQs and Kafka poison messages. | Resilience answers. | Script updates. | Did I mention dead-letter queues? |
| **3** | Incident Storytelling. | Practice Situation -> Detection -> Containment -> Fix. | Structured storytelling practice. | Narrative outlines. | Is the story under 3 minutes? |
| **4** | Opaque SDK Debugging. | Explain how to debug a failing hardware SDK. | SDK debugging mock. | Performance notes. | Did I mention Wireshark/logs? |
| **5** | Presentation Polish. | Refine pacing and screen-sharing clarity for code reviews. | Screen-share rehearsal. | Presentation check. | Is my IDE font readable on a stream? |
### Week 44 — Tradeoff Mastery & Whiteboarding
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Protocol Comparisons. | Verbally compare MQTT vs HTTP and Modbus vs OPC UA. | Verbal tradeoff practice. | Performance notes. | Are the latency tradeoffs clear? |
| **2** | Offline-First Design. | Whiteboard an offline-first biometric fleet from scratch. | Whiteboard session. | Diagram output. | Did I include local SQLite? |
| **3** | Architecture Comparisons. | Verbally compare EF Core vs Dapper and mTLS vs API keys. | Verbal tradeoff practice. | Performance notes. | Did I cite performance limits? |
| **4** | Multi-Vendor Pipelines. | Whiteboard a multi-vendor event pipeline. | Whiteboard session. | Diagram output. | Is the anti-corruption layer present? |
| **5** | Narrative Lockdown. | Lock in your tradeoff defense narrative. | Finalized tradeoff logic. | Defense scripts. | Am I confident in my decisions? |
### Week 45 — Public Positioning Polish
| Day | Study | Practice | Build & Push | Output | Self-Check |
|---|---|---|---|---|---|
| **1** | Capstone Demonstration. | Record a 5-minute Loom video demonstrating the system. | High-quality video recording. | Video file. | Is the audio and code clear? |
| **2** | Profile Linking. | Add the video link to GitHub README and LinkedIn. | Updated public profiles. | Live profile links. | Do the links work perfectly? |
| **3** | The Transition Pitch. | Write the 2-minute pitch: "Why am I transitioning to IoT?" | Pitch script. | Memorized pitch. | Is my motivation compelling? |
| **4** | GitHub Purge. | Clean GitHub completely of irrelevant/hobby repositories. | Cleaned GitHub profile. | Professional profile view. | Does it scream "Systems Architect"? |
| **5** | Cloud Cost Cap. | Ensure Azure/AWS resources are cost-capped or paused. | Billing configuration. | Safe cloud environments. | Will I avoid unexpected bills? |
### Weeks 46–52 — The Forward Deployed Crucible
*(This block represents the final 1.5 months dedicated entirely to the extraction protocol).*
| Day | Action Protocol |
|---|---|
| **Daily Operations** | **1.** Execute high-volume technical interviews. 
 **2.** Complete technical take-home assignments or live whiteboarding. 
 **3.** Deliver final round DACH/KSA presentations. 
 **4.** Assess feedback, patch knowledge gaps immediately, and re-apply. |
| **Negotiation Phase** | Deploy negotiation strategies for the €55k-€65k+ (Blue Card) / SAR 18k+ brackets. Secure relocation/visa logistics. |
| **Final Output** | **The Contract is Signed. The Extraction Pod Launches.** |
